antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'NoOfJS'}),frozenset({'IsHTTPS'}),0.6637727983913331,0.7819488141165041,0.6266909924819675,0.944134791303238,1.2074125240153757,0.10765463993707125,3.903166048606102,0.510912412808067
frozenset({'HasDescription'}),frozenset({'NoOfJS'}),0.4412085336165069,0.6637727983913331,0.4321202433334651,0.9794013723883653,1.475506942679731,0.13925802030069978,16.322796253608498,0.5767210986099435
frozenset({'HasSocialNet'}),frozenset({'NoOfJS'}),0.4579278246281935,0.6637727983913331,0.45396828983116905,0.9913533649102032,1.4935130926015172,0.15000825621645747,38.88532337919775,0.6095825539454968
frozenset({'NoOfJS'}),frozenset({'HasCopyrightInfo'}),0.6637727983913331,0.4876610502651928,0.4761947797402861,0.7174062885589073,1.4711166458112204,0.15249863973930256,1.812987794817244,0.9524638331683887
frozenset({'HasCopyrightInfo'}),frozenset({'NoOfJS'}),0.4876610502651928,0.6637727983913331,0.4761947797402861,0.9764872127501852,1.4711166458112201,0.15249863973930256,14.29975944733289,0.6250632504622843
frozenset({'NoOfJS'}),frozenset({'label'}),0.6637727983913331,0.5732005580628216,0.5669251755243135,0.8540952218865676,1.4900460403825369,0.18645023705948066,2.925191672649452,0.9781475031327193
frozenset({'label'}),frozenset({'NoOfJS'}),0.5732005580628216,0.6637727983913331,0.5669251755243135,0.9890520299566418,1.4900460403825369,0.18645023705948066,30.711373914714414,0.7705722300059321
frozenset({'HasDescription'}),frozenset({'IsHTTPS'}),0.4412085336165069,0.7819488141165041,0.43385430493501503,0.98333162638263,1.257539635114942,0.08885181529550573,13.08173136077697,0.36649886065466125
frozenset({'HasSocialNet'}),frozenset({'IsHTTPS'}),0.4579278246281935,0.7819488141165041,0.45719917985099495,0.9984088217880402,1.2768211982214035,0.09912306043202862,137.03756389105908,0.3999559337058435
frozenset({'HasCopyrightInfo'}),frozenset({'IsHTTPS'}),0.4876610502651928,0.7819488141165041,0.47774244384069225,0.9796608598962194,1.2528452530529164,0.09641646389501585,10.72076718931521,0.3939127146070736
frozenset({'IsHTTPS'}),frozenset({'label'}),0.7819488141165041,0.5732005580628216,0.5732005580628216,0.7330410222700579,1.2788560861619367,0.12498706143467991,1.5987454161175736,1.0000000000000002
frozenset({'label'}),frozenset({'IsHTTPS'}),0.5732005580628216,0.7819488141165041,0.5732005580628216,1.0,1.2788560861619365,0.12498706143467991,inf,0.5108984793742805
frozenset({'HasSocialNet'}),frozenset({'HasDescription'}),0.4579278246281935,0.4412085336165069,0.34466592484226816,0.7526642984014209,1.7059150969541934,0.14262426083586596,2.2592430561860435,0.7633750156108361
